Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property ID,Property Age,Property Type,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD)
F,23,1637.58,Low,Working,Sales staff,Semi-Urban,39624.47,195.0,N,N,4.0,659.1,0,Unpossessed,296,1637.58,2,Semi-Urban,1,60394.3,0.0
F,21,2009.31,Low,Working,Laborers,Semi-Urban,28141.1,130.33,Y,Y,1.0,613.32,0,Active,134,2009.31,3,Rural,0,31144.18,0.0
F,45,1544.96,Low,Working,Drivers,Semi-Urban,77515.06,403.07,N,N,2.0,790.95,0,Active,707,1544.96,3,Semi-Urban,1,134946.43,-999.0
M,48,3113.49,Low,Working,Laborers,Semi-Urban,74861.71,268.17,N,Y,4.0,658.99,0,Active,878,3113.49,3,Urban,1,120768.17,48660.11
M,20,1413.44,Low,Working,Cooking staff,Semi-Urban,24508.9,182.66,Y,Y,1.0,743.84,0,Unpossessed,134,1413.44,3,Rural,1,35673.14,17156.23
M,18,2460.06,Low,Working,High skill tech staff,Semi-Urban,148730.76,414.83,N,Y,1.0,651.1,0,Inactive,60,2460.06,4,Urban,1,238121.18,0.0
M,50,3982.92,Low,Working,Accountants,Urban,116958.1,561.52,Y,Y,2.0,791.13,0,Inactive,110,3982.92,2,Semi-Urban,1,206608.96,87718.58
M,34,1551.05,Low,Working,Sales staff,Semi-Urban,185652.6,585.01,N,N,4.0,693.77,0,Inactive,759,1551.05,1,Semi-Urban,0,212035.17,0.0
M,31,7440.79,Low,Working,Accountants,Semi-Urban,257854.62,657.81,Y,Y,2.0,793.19,0,Unpossessed,943,7440.79,1,Semi-Urban,0,370599.64,0.0
F,57,3439.34,Low,Working,Managers,Semi-Urban,95372.91,537.59,Y,Y,2.0,784.02,1,Active,397,3439.34,1,Urban,1,168422.98,71529.68
