Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property ID,Property Age,Property Type,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD)
M,64,2744.18,Low,Working,Laborers,Semi-Urban,101734.52,856.53,Y,Y,2.0,633.17,1,Unpossessed,223,2744.18,1,Rural,1,156897.94,0.0
M,53,3455.09,Low,State servant,HR staff,Semi-Urban,153075.74,785.2,N,N,2.0,824.75,0,Active,689,3455.09,3,Rural,1,238141.65,107153.02
M,18,1749.85,Low,Working,Laborers,Rural,147318.64,507.71,Y,N,2.0,734.51,1,Unpossessed,959,1749.85,1,Rural,1,208898.29,95757.12
F,46,495.91,Low,Working,Laborers,Semi-Urban,18277.14,126.06,N,Y,2.0,705.42,0,Inactive,171,495.91,1,Rural,1,24597.61,11880.14
M,40,1702.0,Low,State servant,Core staff,Semi-Urban,109042.12,377.13,N,Y,2.0,784.3,0,Active,178,1702.0,1,Semi-Urban,1,145857.81,76329.48
F,41,1047.71,Low,Working,Laborers,Rural,20846.0,138.54,N,Y,2.0,649.44,0,Unpossessed,58,1047.71,3,Semi-Urban,1,34491.02,0.0
M,20,3655.3,Low,Working,Laborers,Semi-Urban,38867.56,396.92,N,Y,2.0,756.19,0,Unpossessed,94,3655.3,1,Urban,1,59090.78,27207.29
F,36,1391.43,Low,Working,Laborers,Semi-Urban,61267.23,308.34,N,Y,3.0,757.7,0,Unpossessed,373,1391.43,1,Semi-Urban,1,97917.63,42887.06
F,39,1746.39,Low,Working,Laborers,Semi-Urban,27527.39,136.69,N,N,2.0,817.94,0,Unpossessed,534,1746.39,2,Rural,1,39088.12,19269.17
M,64,1961.71,Low,Working,Cooking staff,Semi-Urban,26525.74,129.59,N,Y,6.0,672.01,0,Active,336,1961.71,1,Semi-Urban,1,37138.89,0.0
M,18,1512.9,Low,Working,Sales staff,Semi-Urban,116030.62,650.37,N,N,2.0,719.35,0,Unpossessed,486,1512.9,4,Rural,0,157678.05,0.0
F,30,2553.65,Low,Working,Managers,Semi-Urban,103534.16,559.77,Y,Y,2.0,705.03,0,Inactive,384,2553.65,4,Urban,1,124114.26,72473.91
M,33,1534.43,Low,Working,Laborers,Semi-Urban,40921.62,199.36,Y,Y,4.0,675.03,0,Active,498,1534.43,2,Semi-Urban,1,52540.02,26599.05
M,39,2440.48,Low,Working,Security staff,Semi-Urban,24364.28,136.13,Y,Y,5.0,744.58,0,Active,925,2440.48,2,Urban,1,35003.58,17055.0
F,52,1021.76,Low,Working,High skill tech staff,Semi-Urban,129340.67,382.12,Y,N,2.0,796.41,0,Inactive,250,1021.76,4,Semi-Urban,1,162358.08,90538.47
M,44,1594.03,Low,Working,Laborers,Semi-Urban,189527.69,551.41,N,Y,2.0,588.09,0,Unpossessed,944,1594.03,3,Rural,1,216375.61,0.0
M,18,3485.52,Low,Working,Sales staff,Semi-Urban,110287.39,540.94,N,Y,3.0,682.73,0,Inactive,261,3485.52,3,Rural,1,178833.28,77201.17
F,20,2779.89,Low,Working,Laborers,Semi-Urban,40084.95,408.52,Y,Y,3.0,735.73,0,Inactive,933,2779.89,2,Rural,1,69844.08,26055.22
F,26,1359.22,Low,Working,Laborers,Semi-Urban,21986.89,233.95,N,Y,2.0,772.01,0,Active,161,1359.22,2,Semi-Urban,1,25134.51,0.0
F,37,3425.03,Low,Working,Managers,Semi-Urban,100060.39,570.41,N,N,3.0,722.5,0,Inactive,561,3425.03,3,Rural,1,160497.3,70042.27
M,18,1265.76,Low,Commercial associate,Medicine staff,Rural,54753.2,385.33,Y,Y,2.0,635.59,1,Active,24,1265.76,1,Semi-Urban,1,98080.26,0.0
F,56,929.61,Low,Working,Laborers,Semi-Urban,31082.01,158.17,N,N,4.0,634.19,0,Unpossessed,846,929.61,1,Rural,0,35296.22,0.0
M,23,4669.77,Low,State servant,Managers,Rural,248805.61,943.5,Y,Y,4.0,699.54,0,Unpossessed,599,4669.77,1,Rural,1,396903.85,161723.65
